class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
Poisonous,Convex,Smooth,Brown,Bruises,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Urban
Edible,Convex,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses
Edible,Bell,Smooth,White,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows
Poisonous,Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Urban
Edible,Convex,Smooth,Green,No Bruises,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses
Edible,Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses
Edible,Bell,Smooth,White,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Meadows
Edible,Bell,Scaly,White,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows
Poisonous,Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Several,Grasses
Edible,Bell,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Meadows
Edible,Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses
Edible,Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Meadows
Edible,Bell,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses
Poisonous,Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban
Edible,Convex,Fibrous,Brown,No Bruises,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses
Edible,Sunken,Fibrous,Green,No Bruises,None,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Solitary,Urban
Edible,Flat,Fibrous,White,No Bruises,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses
Poisonous,Convex,Smooth,Brown,Bruises,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses
Poisonous,Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Urban
Poisonous,Convex,Smooth,Brown,Bruises,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Urban
Edible,Bell,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows
Poisonous,Convex,Scaly,Brown,Bruises,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Grasses
Edible,Bell,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows
Edible,Bell,Scaly,White,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows
Edible,Bell,Smooth,White,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Meadows
Poisonous,Flat,Smooth,White,Bruises,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Grasses
Edible,Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows
Edible,Convex,Scaly,White,Bruises,Anise,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows
Edible,Flat,Fibrous,Brown,No Bruises,None,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Solitary,Urban
Edible,Convex,Smooth,Yellow,Bruises,Almond,Free,Crowded,Narrow,Brown,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Wood
Edible,Bell,Smooth,Yellow,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows
Poisonous,Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Urban
Edible,Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows
Edible,Convex,Scaly,Brown,Bruises,Anise,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Solitary,Paths
Edible,Bell,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows
Edible,Convex,Fibrous,Yellow,Bruises,Anise,Free,Crowded,Narrow,White,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Wood
Edible,Sunken,Fibrous,Green,No Bruises,None,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Several,Urban
Poisonous,Convex,Scaly,Brown,Bruises,Pungent,Free,Close,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Urban
Edible,Convex,Fibrous,Yellow,Bruises,Almond,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Wood
Edible,Bell,Smooth,Yellow,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Meadows
Edible,Bell,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses
Edible,Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Solitary,Paths
Edible,Convex,Fibrous,Brown,No Bruises,None,Free,Close,Narrow,Gray,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Solitary,Urban
Poisonous,Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Grasses
Edible,Convex,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Meadows
Edible,Convex,Scaly,White,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses
Edible,Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Meadows
Edible,Convex,Smooth,White,Bruises,Anise,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows
Edible,Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Scattered,Paths
Edible,Flat,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Scattered,Paths
Edible,Convex,Scaly,Brown,Bruises,Almond,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses
Edible,Convex,Smooth,White,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses
Edible,Bell,Smooth,White,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows
Poisonous,Convex,Scaly,Brown,Bruises,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban
Poisonous,Convex,Smooth,White,Bruises,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Several,Urban
Edible,Bell,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Meadows
Edible,Flat,Fibrous,Green,No Bruises,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses
Edible,Bell,Smooth,White,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses
Edible,Convex,Smooth,Yellow,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses
Edible,Convex,Scaly,Brown,Bruises,Almond,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Solitary,Paths
Edible,Sunken,Fibrous,Green,No Bruises,None,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban
Edible,Bell,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows
Edible,Bell,Smooth,Yellow,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows
Edible,Bell,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows
Edible,Bell,Scaly,White,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses
Edible,Flat,Smooth,Brown,No Bruises,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Black,Abundant,Grasses
Edible,Convex,Smooth,White,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses
Edible,Flat,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses
Edible,Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses
